title,genre,score,ranked,aired,episodes
Top wo Nerae! Gunbuster,"Action, Comedy, Drama, Mecha, Military, Sci-Fi, Shounen, Space",7.92,687.0,"Oct 7, 1988 to Jul 7, 1989",6.0
Seitokai Yakuindomo Movie,"Slice of Life, Comedy, School, Shounen",7.92,686.0,"Jul 21, 2017",1.0
Magic Kaito,"Adventure, Comedy, Romance, Shounen",7.92,684.0,"Apr 17, 2010 to Dec 29, 2012",12.0
Hoozuki no Reitetsu 2nd Season,"Comedy, Demons, Supernatural, Fantasy, Seinen",7.92,683.0,"Oct 8, 2017 to Dec 31, 2017",13.0
Hataraku Maou-sama!,"Comedy, Demons, Supernatural, Romance, Fantasy",7.92,681.0,"Apr 4, 2013 to Jun 27, 2013",13.0
Haikyuu!! Movie 4: Concept no Tatakai,"Comedy, Drama, School, Shounen, Sports",7.92,680.0,"Sep 29, 2017",1.0
Detective Conan Movie 07: Crossroad in the Ancient Capital,"Adventure, Mystery, Comedy, Police, Shounen",7.92,678.0,"Apr 19, 2003",1.0
Yuru Yuri Nachuyachumi!,"Comedy, Shoujo Ai, Slice of Life",7.93,677.0,"Feb 18, 2015",1.0
Uchouten Kazoku,"Slice of Life, Comedy, Demons, Drama, Fantasy",7.93,675.0,"Jul 7, 2013 to Sep 29, 2013",13.0
Working'!!,"Comedy, Romance, Seinen, Slice of Life",7.93,676.0,"Oct 1, 2011 to Dec 24, 2011",13.0
Seihou Bukyou Outlaw Star,"Action, Sci-Fi, Adventure, Space, Comedy",7.93,673.0,"Jan 9, 1998 to Jun 26, 1998",24.0
Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",7.93,670.0,"Oct 3, 2002 to Feb 8, 2007",220.0
Fairy Tail,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",7.93,665.0,"Oct 12, 2009 to Mar 30, 2013",175.0
Zan Sayonara Zetsubou Sensei,"Comedy, Parody, School, Shounen",7.94,661.0,"Jul 5, 2009 to Sep 27, 2009",13.0
Akachan to Boku,"Comedy, Drama, Shoujo",7.93,662.0,"Jul 11, 1996 to Mar 26, 1997",35.0
Seto no Hanayome OVA,"Comedy, Parody, Romance, School, Shounen",7.94,660.0,"Nov 3, 2008 to Jan 5, 2009",2.0
Magic Kaito 1412,"Adventure, Comedy, Romance, Shounen",7.94,657.0,"Oct 4, 2014 to Mar 28, 2015",24.0
Lupin III (2015),"Action, Adventure, Comedy, Mystery, Seinen",7.94,656.0,"Oct 2, 2015 to Mar 18, 2016",24.0
Hanasaku Iroha: Home Sweet Home,"Slice of Life, Comedy, Drama",7.94,652.0,"Mar 9, 2013",1.0
Hoozuki no Reitetsu OVA,"Comedy, Demons, Supernatural, Fantasy, Seinen",7.94,653.0,"Feb 23, 2015 to Mar 23, 2017",4.0
Haikyuu!! Movie 3: Sainou to Sense,"Comedy, Drama, School, Shounen, Sports",7.94,651.0,"Sep 15, 2017",1.0
Detective Conan Movie 01: The Timed Skyscraper,"Adventure, Mystery, Comedy, Police, Shounen",7.94,649.0,"Apr 19, 1997",1.0
Carnival Phantasm,"Comedy, Parody, Supernatural",7.94,648.0,"Aug 14, 2011 to Dec 31, 2011",12.0
Sayonara Zetsubou Sensei,"Comedy, Parody, School, Shounen",7.95,646.0,"Jul 8, 2007 to Sep 23, 2007",12.0
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"Action, Magic, Comedy, Sci-Fi, Drama",7.95,644.0,"Jan 23, 2010",1.0
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,"Comedy, Drama, Shoujo",7.95,641.0,"Dec 11, 2005",1.0
Isekai no Seikishi Monogatari,"Action, Comedy, Ecchi, Fantasy, Harem, Mecha, School",7.95,640.0,"May 22, 2009 to May 26, 2010",13.0
Xiao Lu He Xiao Lan,"Game, Sci-Fi, Slice of Life, Comedy, Drama, Magic, School, Shounen Ai",7.96,637.0,"Aug 27, 2018 to Feb 16, 2019",72.0
Kuroko no Basket: Tip Off,"Sports, Comedy, School, Shounen",7.96,636.0,"Feb 22, 2013",1.0
Hidamari Sketch x ☆☆☆,"Slice of Life, Comedy, School, Seinen",7.96,635.0,"Jan 8, 2010 to Mar 26, 2010",12.0
Durarara!! Specials,"Action, Comedy, Supernatural",7.96,632.0,"Aug 25, 2010 to Feb 23, 2011",2.0
Detective Conan Movie 02: The Fourteenth Target,"Adventure, Mystery, Comedy, Police, Shounen",7.96,631.0,"Apr 18, 1998",1.0
Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",7.97,627.0,"Oct 10, 2001 to Mar 23, 2005",178.0
Sekaiichi Hatsukoi,"Comedy, Drama, Romance, Shounen Ai",7.97,626.0,"Apr 9, 2011 to Jun 25, 2011",12.0
Seitokai Yakuindomo* OVA,"Slice of Life, Comedy, School, Shounen",7.97,625.0,"May 16, 2014 to Sep 17, 2020",10.0
Junjou Romantica OVA,"Comedy, Drama, Romance, Shounen Ai",7.97,623.0,"Dec 20, 2012 to Dec 1, 2015",2.0
Igano Kabamaru,"Action, Adventure, Comedy, Romance, School, Shounen",7.97,622.0,"Oct 20, 1983 to Mar 29, 1984",24.0
High☆Speed!: Free! Starting Days,"Comedy, Drama, School, Slice of Life, Sports",7.97,619.0,"Dec 5, 2015",1.0
